Stock,Option,expiration, Buy  , Sold ,percent change,type,call or put,date bought,day sold,days held,quantity, start equity , end equity , profit , portfolio ,,,
,,,,,,,,,,,,,,," $ 2,000.00 ",,,
VZ,56,20-Aug, $ 0.25 , $ 0.29 ,16%,Three Line Strike,call,8/11/2021,8/16/2021,3,20, $ 500.00 , $ 580.00 , $ 80.00 ," $ 2,080.00 ",,,
FCEL,6.5,20-Aug, $ 0.28 , $ 0.50 ,79%,Evening Star,put,8/11/2021,8/13/2021,2.5,18, $ 504.00 , $ 900.00 , $ 396.00 ," $ 2,476.00 ",,,
NET,118,20-Aug, $ 2.52 , $ 2.99 ,19%,Evening Star,put,8/11/2021,8/16/2021,4,2, $ 504.00 , $ 598.00 , $ 94.00 ," $ 2,570.00 ",,,
GE,101,3-Sep, $ 2.62 , $ 2.97 ,13%,3 Black Crows,put,8/17/2021,8/18/2021,1,2, $ 524.00 , $ 594.00 , $ 70.00 ," $ 2,640.00 ",,,
WFC,48,3-Sep, $ 0.97 , $ 1.14 ,18%,3 Black Crows,put,8/17/2021,8/18/2021,1,6, $ 582.00 , $ 684.00 , $ 102.00 ," $ 2,742.00 ",,,
BA,220,3-Sep, $ 5.20 , $ 6.05 ,16%,3 Black Crows,put,8/17/2021,8/18/2021,1,1, $ 520.00 , $ 605.00 , $ 85.00 ," $ 2,827.00 ",,,
ORCL,89,3-Sep, $ 1.39 , $ 1.63 ,17%,Evening Star,put,8/18/2021,8/18/2021,0,4, $ 556.00 , $ 652.00 , $ 96.00 ," $ 2,923.00 ",,,
PLTR,26,3-Sep, $ 0.49 , $ 0.43 ,-12%,Abandoned Baby,call,8/18/2021,8/24/2021,5,11, $ 539.00 , $ 473.00 , $ (66.00)," $ 2,857.00 ",,,
BEKE,15,17-Sep, $ 1.15 , $ 1.40 ,22%,Evening Star,put,8/19/2021,8/20/2021,1,5, $ 575.00 , $ 700.00 , $ 125.00 ," $ 2,982.00 ",,,
SLV,21.5,3-Sep, $ 0.43 , $ 0.55 ,28%,3 Black Crows,put,8/19/2021,8/20/2021,1,12, $ 516.00 , $ 660.00 , $ 144.00 ," $ 3,126.00 ",,,
VXX,27.5,3-Sep, $ 1.44 , $ 1.77 ,23%,Evening Star,put,8/20/2021,8/23/2021,1,4, $ 576.00 , $ 708.00 , $ 132.00 ," $ 3,258.00 ",,,
XLF,38,3-Sep, $ 0.44 , $ 0.55 ,25%,Abandoned Baby,call,8/20/2021,8/23/2021,1,12, $ 528.00 , $ 660.00 , $ 132.00 ," $ 3,390.00 ",,,
LUV,49,3-Sep, $ 1.04 , $ 1.55 ,49%,Abandoned Baby,call,8/23/2021,8/24/2021,1,5, $ 520.00 , $ 775.00 , $ 255.00 ," $ 3,645.00 ",,,
F,13,3-Sep, $ 0.22 , $ 0.28 ,27%,Abandoned Baby,call,8/23/2021,8/24/2021,1,23, $ 506.00 , $ 644.00 , $ 138.00 ," $ 3,783.00 ",,,
GM,50,3-Sep, $ 0.85 , $ 0.43 ,-49%,Abandoned Baby,call,8/24/2021,8/21/2021,5,6, $ 510.00 , $ 258.00 , $ (252.00)," $ 3,531.00 ",,,
AAPL`,148,3-Sep, $ 1.56 , $ 1.90 ,22%,Evening Star,put,8/25/2021,8/26/2021,1,4, $ 624.00 , $ 760.00 , $ 136.00 ," $ 3,667.00 ",,,
